,Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,-log10(pValue)
815,R-DRE-112411,MAPK1 (ERK2) activation,1,12,0.0011757789535567,0.7856189366522429,0.9976233031343844,1,3,0.00040838551592703513,7955,Danio rerio,JAK1,,R-DRE-109858,0.10478805680911989
816,R-DRE-9020591,Interleukin-12 signaling,1,12,0.0011757789535567,0.7856189366522429,0.9976233031343844,3,11,0.0014974135583991,7955,Danio rerio,JAK1,,R-DRE-8952807;R-DRE-8950448;R-DRE-8950757,0.10478805680911989
817,R-RNO-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,2,23,0.0022181502555694,0.786312985673965,0.9907144498866054,5,9,0.0011393847322445,10116,Rattus norvegicus,GNB2;GNB3,,R-RNO-6814120;R-RNO-8850527;R-RNO-6814119;R-RNO-6814121;R-RNO-6814124,0.1044045520585514
818,R-RNO-9013422,RHOBTB1 GTPase cycle,2,23,0.0022181502555694,0.786312985673965,0.9907144498866054,1,2,0.000253196607165464,10116,Rattus norvegicus,SPEN;ROCK2,,R-RNO-9018778,0.1044045520585514
819,R-RNO-881907,Gastrin-CREB signalling pathway via PKC and MAPK,2,23,0.0022181502555694,0.786312985673965,0.9907144498866054,3,8,0.0010127864286618,10116,Rattus norvegicus,KRAS;EGFR,,R-RNO-2179407;R-RNO-2179387;R-RNO-2179415,0.1044045520585514
820,R-XTR-1250196,SHC1 events in ERBB2 signaling,1,10,0.0011782726522917,0.7863184114379456,0.9971887447023138,1,1,0.00016321201240411296,8364,Xenopus tropicalis,EGFR,,R-XTR-1250195,0.10440155532408305
821,R-XTR-162791,Attachment of GPI anchor to uPAR,1,10,0.0011782726522917,0.7863184114379456,0.9971887447023138,1,2,0.0003264240248082259,8364,Xenopus tropicalis,PIGU,,R-XTR-162836,0.10440155532408305
822,R-XTR-435354,Zinc transporters,1,10,0.0011782726522917,0.7863184114379456,0.9971887447023138,1,7,0.0011424840868287,8364,Xenopus tropicalis,JAK1,,R-XTR-442387,0.10440155532408305
823,R-XTR-140875,Common Pathway of Fibrin Clot Formation,1,10,0.0011782726522917,0.7863184114379456,0.9971887447023138,1,8,0.0013056960992329,8364,Xenopus tropicalis,SERPINA1,,R-XTR-5591086,0.10440155532408305
824,R-SSC-5673000,RAF activation,3,32,0.0032006401280256,0.7888543434017417,0.9921970602113253,9,12,0.0016006402561024,9823,Sus scrofa,KSR1;PPP2R1A;KRAS,,R-SSC-5672958;R-SSC-9653108;R-SSC-5672957;R-SSC-5672969;R-SSC-5672961;R-SSC-5672966;R-SSC-5672950;R-SSC-5672948;R-SSC-5672954,0.10300317891552756
825,R-SSC-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,3,32,0.0032006401280256,0.7888543434017417,0.9921970602113253,3,7,0.0009337068160597572,9823,Sus scrofa,GNB2;ITPR1;GNB3,,R-SSC-9728664;R-SSC-381612;R-SSC-381644,0.10300317891552756
826,R-HSA-8847993,ERBB2 Activates PTK6 Signaling,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,2,2,0.0001435544071202986,9606,Homo sapiens,EGFR,,R-HSA-8848005;R-HSA-8847995,0.10279559789555823
827,R-HSA-193144,Estrogen biosynthesis,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,3,8,0.0005742176284811944,9606,Homo sapiens,CYP19A1,,R-HSA-193143;R-HSA-193060;R-HSA-9707353,0.10279559789555823
828,R-HSA-5607763,CLEC7A (Dectin-1) induces NFAT activation,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,2,6,0.0004306632213608958,9606,Homo sapiens,ITPR1,,R-HSA-169683;R-HSA-169680,0.10279559789555823
829,R-HSA-9634600,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,4,0.0002871088142405972,9606,Homo sapiens,PPP2R1A,,R-HSA-163750,0.10279559789555823
830,R-HSA-77348,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,4,0.0002871088142405972,9606,Homo sapiens,ECHS1,,R-HSA-77333,0.10279559789555823
831,R-HSA-418457,cGMP effects,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,4,0.0002871088142405972,9606,Homo sapiens,ITPR1,,R-HSA-418442,0.10279559789555823
832,R-HSA-77310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,4,0.0002871088142405972,9606,Homo sapiens,ECHS1,,R-HSA-77256,0.10279559789555823
833,R-HSA-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,4,0.0002871088142405972,9606,Homo sapiens,ECHS1,,R-HSA-77325,0.10279559789555823
834,R-HSA-5578768,Physiological factors,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,6,0.0004306632213608958,9606,Homo sapiens,NPR2,,R-HSA-5692408,0.10279559789555823
835,R-HSA-205043,NRIF signals cell death from the nucleus,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,7,0.0005024404249210451,9606,Homo sapiens,NCSTN,,R-HSA-205112,0.10279559789555823
836,R-HSA-8963896,HDL assembly,1,18,0.0011887465328226,0.7892314845734394,0.9582515491555914,1,9,0.0006459948320413437,9606,Homo sapiens,A2M,,R-HSA-264758,0.10279559789555823
837,R-HSA-451326,Activation of kainate receptors upon glutamate binding,2,34,0.0022454101175538,0.7919299865282821,0.9582515491555914,1,6,0.0004306632213608958,9606,Homo sapiens,GNB2;GNB3,,R-HSA-500717,0.10131321210808708
838,R-DME-1963640,GRB2 events in ERBB2 signaling,1,7,0.0011996572407883,0.7922238589664039,0.9999798570917454,2,2,0.0004392708104546453,7227,Drosophila melanogaster,EGFR,,R-DME-1306969;R-DME-1306972,0.10115208232882132
839,R-DME-1963642,PI3K events in ERBB2 signaling,1,7,0.0011996572407883,0.7922238589664039,0.9999798570917454,2,2,0.0004392708104546453,7227,Drosophila melanogaster,EGFR,,R-DME-1306979;R-DME-1250462,0.10115208232882132
840,R-DME-1250342,PI3K events in ERBB4 signaling,1,7,0.0011996572407883,0.7922238589664039,0.9999798570917454,1,1,0.00021963540522732265,7227,Drosophila melanogaster,EGFR,,R-DME-1250370,0.10115208232882132
841,R-DME-180336,SHC1 events in EGFR signaling,1,7,0.0011996572407883,0.7922238589664039,0.9999798570917454,1,1,0.00021963540522732265,7227,Drosophila melanogaster,EGFR,,R-DME-177945,0.10115208232882132
842,R-SSC-6785631,ERBB2 Regulates Cell Motility,1,12,0.0012002400480096,0.7923825001136273,0.9921970602113253,1,1,0.00013338668800853674,9823,Sus scrofa,EGFR,,R-SSC-6785636,0.10106512448635487
843,R-SSC-209543,p75NTR recruits signalling complexes,1,12,0.0012002400480096,0.7923825001136273,0.9921970602113253,6,7,0.0009337068160597572,9823,Sus scrofa,IRAK1,,R-SSC-193641;R-SSC-193695;R-SSC-193694;R-SSC-193665;R-SSC-209566;R-SSC-193684,0.10106512448635487
844,R-SSC-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,1,12,0.0012002400480096,0.7923825001136273,0.9921970602113253,1,2,0.0002667733760170735,9823,Sus scrofa,PPP2R1A,,R-SSC-113503,0.10106512448635487
845,R-SSC-171007,p38MAPK events,1,12,0.0012002400480096,0.7923825001136273,0.9921970602113253,1,2,0.0002667733760170735,9823,Sus scrofa,KRAS,,R-SSC-170986,0.10106512448635487
846,R-SSC-113510,E2F mediated regulation of DNA replication,1,12,0.0012002400480096,0.7923825001136273,0.9921970602113253,1,2,0.0002667733760170735,9823,Sus scrofa,PPP2R1A,,R-SSC-113503,0.10106512448635487
847,R-SSC-74749,Signal attenuation,1,12,0.0012002400480096,0.7923825001136273,0.9921970602113253,1,5,0.0006669334400426837,9823,Sus scrofa,GRB10,,R-SSC-110011,0.10106512448635487
848,R-HSA-418597,G alpha (z) signalling events,4,63,0.0041606128648791,0.7927259394389903,0.9582515491555914,8,13,0.0009331036462819408,9606,Homo sapiens,PRKCE;GNB2;GNB3;GNAI2,,R-HSA-392129;R-HSA-749453;R-HSA-8982703;R-HSA-750988;R-HSA-751024;R-HSA-751040;R-HSA-8982709;R-HSA-749446,0.10087693066631594
849,R-MMU-209543,p75NTR recruits signalling complexes,1,13,0.0012052660856666,0.7937455835489436,0.9874282648238504,6,7,0.000854283622162558,10090,Mus musculus,IRAK1,,R-MMU-193641;R-MMU-193684;R-MMU-193695;R-MMU-193665;R-MMU-209566;R-MMU-193694,0.10031867813544434
850,R-MMU-141334,PAOs oxidise polyamines to amines,1,13,0.0012052660856666,0.7937455835489436,0.9874282648238504,2,3,0.000366121552355382,10090,Mus musculus,PAOX,,R-MMU-141351;R-MMU-141348,0.10031867813544434
851,R-MMU-418457,cGMP effects,1,13,0.0012052660856666,0.7937455835489436,0.9874282648238504,1,2,0.000244081034903588,10090,Mus musculus,ITPR1,,R-MMU-418442,0.10031867813544434
852,R-MMU-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",1,13,0.0012052660856666,0.7937455835489436,0.9874282648238504,1,2,0.000244081034903588,10090,Mus musculus,MAT1A,,R-MMU-2408551,0.10031867813544434
853,R-MMU-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,1,13,0.0012052660856666,0.7937455835489436,0.9874282648238504,1,3,0.000366121552355382,10090,Mus musculus,ECHS1,,R-MMU-77314,0.10031867813544434
854,R-MMU-376172,DSCAM interactions,1,13,0.0012052660856666,0.7937455835489436,0.9874282648238504,1,4,0.000488162069807176,10090,Mus musculus,MAPK13,,R-MMU-451366,0.10031867813544434
855,R-HSA-9656223,Signaling by RAF1 mutants,3,49,0.0032360322282393,0.7949443983335108,0.9582515491555914,6,7,0.0005024404249210451,9606,Homo sapiens,KSR1;KRAS,,R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-9656213;R-HSA-9656212,0.09966324661574177
856,R-HSA-5674135,MAP2K and MAPK activation,3,49,0.0032360322282393,0.7949443983335108,0.9582515491555914,8,12,0.0008613264427217916,9606,Homo sapiens,KSR1;KRAS,,R-HSA-9657603;R-HSA-5672980;R-HSA-5672978;R-HSA-9657606;R-HSA-5672972;R-HSA-5672973;R-HSA-9657608;R-HSA-9657599,0.09966324661574177
857,R-CFA-418217,G beta:gamma signalling through PLC beta,2,22,0.002263607367013,0.7956066415293687,0.9928297628453584,2,2,0.00026994196247806724,9615,Canis familiaris,GNB2;GNB3,,R-CFA-398193;R-CFA-398040,0.09930160014851062
858,R-CFA-1250196,SHC1 events in ERBB2 signaling,2,22,0.002263607367013,0.7956066415293687,0.9928297628453584,2,3,0.0004049129437171008,9615,Canis familiaris,PRKCE;EGFR,,R-CFA-8934446;R-CFA-1250195,0.09930160014851062
859,R-CFA-500657,Presynaptic function of Kainate receptors,2,22,0.002263607367013,0.7956066415293687,0.9928297628453584,1,2,0.00026994196247806724,9615,Canis familiaris,GNB2;GNB3,,R-CFA-500717,0.09930160014851062
860,R-MMU-9706574,RHOBTB GTPase Cycle,3,35,0.0032449471537177,0.7964551017270707,0.9874282648238504,2,4,0.000488162069807176,10090,Mus musculus,SPEN;HSP90AB1;ROCK2,,R-MMU-9018778;R-MMU-9018785,0.0988387014972212
861,R-BTA-9706574,RHOBTB GTPase Cycle,3,34,0.003257016955647,0.7984855845290612,0.9917786650805974,2,4,0.0005046045162104201,9913,Bos taurus,SPEN;HSP90AB1;ROCK2,,R-BTA-9018785;R-BTA-9018778,0.09773291999637489
862,R-BTA-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,3,34,0.003257016955647,0.7984855845290612,0.9917786650805974,3,7,0.0008830579033682352,9913,Bos taurus,GNB2;ITPR1;GNB3,,R-BTA-9728664;R-BTA-381644;R-BTA-381612,0.09773291999637489
863,R-GGA-9013507,NOTCH3 Activation and Transmission of Signal to the Nucleus,2,20,0.0022794620469569,0.798762990826074,0.9974743987201626,4,9,0.0013248932724863,9031,Gallus gallus,NCSTN;EGFR,,R-GGA-9018572;R-GGA-9018573;R-GGA-9013361;R-GGA-9017817,0.09758206554941135
864,R-GGA-9012852,Signaling by NOTCH3,2,20,0.0022794620469569,0.798762990826074,0.9974743987201626,4,9,0.0013248932724863,9031,Gallus gallus,NCSTN;EGFR,,R-GGA-9018572;R-GGA-9018573;R-GGA-9013361;R-GGA-9017817,0.09758206554941135
865,R-GGA-881907,Gastrin-CREB signalling pathway via PKC and MAPK,2,20,0.0022794620469569,0.798762990826074,0.9974743987201626,3,7,0.0010304725452671,9031,Gallus gallus,KRAS;EGFR,,R-GGA-2179407;R-GGA-2179415;R-GGA-2179387,0.09758206554941135
866,R-CFA-3000170,Syndecan interactions,1,12,0.0012346949274616,0.8015492357647389,0.9928297628453584,3,4,0.0005398839249561345,9615,Canis familiaris,SDC1,,R-CFA-2731122;R-CFA-2731141;R-CFA-2731074,0.0960697956252487
867,R-RNO-451927,Interleukin-2 family signaling,3,34,0.0032790047256244,0.8021409425205749,0.9907144498866054,25,33,0.0041777440182301,10116,Rattus norvegicus,STAT1;PTK2B;JAK1,,R-RNO-9005980;R-RNO-8985914;R-RNO-8985900;R-RNO-9006870;R-RNO-912527;R-RNO-9006873;R-RNO-8983384;R-RNO-508513;R-RNO-453104;R-RNO-508451;R-RNO-451900;R-RNO-8985988;R-RNO-9006850;R-RNO-8983335;R-RNO-8985973;R-RNO-508247;R-RNO-8985981;R-RNO-8983378;R-RNO-8985966;R-RNO-9011748;R-RNO-8985929;R-RNO-8983371;R-RNO-8983300;R-RNO-8985943;R-RNO-8983374,0.09574931602874664
868,R-RNO-198725,Nuclear Events (kinase and transcription factor activation),3,34,0.0032790047256244,0.8021409425205749,0.9907144498866054,3,13,0.0016457779465755,10116,Rattus norvegicus,EGR2;PPP2R1A;SRF,,R-RNO-9612509;R-RNO-199959;R-RNO-9613213,0.09574931602874664
869,R-SSC-202040,G-protein activation,2,23,0.0023004600920184,0.8028767042119009,0.9921970602113253,5,6,0.0008003201280512205,9823,Sus scrofa,GNB2;GNB3,,R-SSC-112271;R-SSC-167419;R-SSC-167433;R-SSC-167429;R-SSC-167408,0.09535114312943671
870,R-SSC-449836,Other interleukin signaling,2,23,0.0023004600920184,0.8028767042119009,0.9921970602113253,3,16,0.0021341870081365,9823,Sus scrofa,SDC1;JAK1,,R-SSC-448661;R-SSC-9009554;R-SSC-9009558,0.09535114312943671
871,R-SSC-400685,Sema4D in semaphorin signaling,2,23,0.0023004600920184,0.8028767042119009,0.9921970602113253,2,11,0.0014672535680939,9823,Sus scrofa,ROCK2,,R-SSC-9680443;R-SSC-419049,0.09535114312943671
872,R-BTA-209543,p75NTR recruits signalling complexes,1,13,0.0012453300124533,0.8042961749011166,0.9917786650805974,6,7,0.0008830579033682352,9913,Bos taurus,IRAK1,,R-BTA-193684;R-BTA-193665;R-BTA-193641;R-BTA-193695;R-BTA-209566;R-BTA-193694,0.09458399672489555
873,R-BTA-141334,PAOs oxidise polyamines to amines,1,13,0.0012453300124533,0.8042961749011166,0.9917786650805974,2,3,0.0003784533871578151,9913,Bos taurus,PAOX,,R-BTA-141348;R-BTA-141351,0.09458399672489555
874,R-BTA-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",1,13,0.0012453300124533,0.8042961749011166,0.9917786650805974,1,2,0.00025230225810521004,9913,Bos taurus,MAT1A,,R-BTA-2408551,0.09458399672489555
875,R-BTA-418457,cGMP effects,1,13,0.0012453300124533,0.8042961749011166,0.9917786650805974,1,2,0.00025230225810521004,9913,Bos taurus,ITPR1,,R-BTA-418442,0.09458399672489555
876,R-CFA-418360,Platelet calcium homeostasis,3,32,0.0032925198065644,0.8043600051928705,0.9928297628453584,3,6,0.0008098258874342017,9615,Canis familiaris,SLC8A3;P2RX1;ITPR1,,R-CFA-139854;R-CFA-139855;R-CFA-425661,0.09454953175488569
877,R-CFA-198725,Nuclear Events (kinase and transcription factor activation),3,32,0.0032925198065644,0.8043600051928705,0.9928297628453584,3,12,0.0016196517748684,9615,Canis familiaris,EGR2;PPP2R1A;SRF,,R-CFA-9613213;R-CFA-9612509;R-CFA-199959,0.09454953175488569
878,R-HSA-5654708,Downstream signaling of activated FGFR3,2,35,0.0023114515915995,0.8050001041643837,0.9582515491555914,3,23,0.0016508756818834,9606,Homo sapiens,KRAS,,R-HSA-5654647;R-HSA-8941628;R-HSA-5654413,0.09420406343584063
879,R-HSA-420092,Glucagon-type ligand receptors,2,35,0.0023114515915995,0.8050001041643837,0.9582515491555914,1,8,0.0005742176284811944,9606,Homo sapiens,GNB2;GNB3,,R-HSA-381612,0.09420406343584063
880,R-HSA-9006335,Signaling by Erythropoietin,2,35,0.0023114515915995,0.8050001041643837,0.9582515491555914,1,25,0.0017944300890037,9606,Homo sapiens,KRAS,,R-HSA-9029158,0.09420406343584063
881,R-XTR-418360,Platelet calcium homeostasis,3,28,0.0032991634264168,0.8054431326143201,0.9971887447023138,3,6,0.0009792720744246776,8364,Xenopus tropicalis,SLC8A3;P2RX1;ITPR1,,R-XTR-139854;R-XTR-425661;R-XTR-139855,0.0939651170245756
882,R-RNO-391251,Protein folding,2,24,0.002314591571029,0.8056029541242471,0.9907144498866054,5,10,0.0012659830358273,10116,Rattus norvegicus,GNB2;GNB3,,R-RNO-6814120;R-RNO-8850527;R-RNO-6814119;R-RNO-6814121;R-RNO-6814124,0.09387894990539784
883,R-RNO-390466,Chaperonin-mediated protein folding,2,24,0.002314591571029,0.8056029541242471,0.9907144498866054,5,10,0.0012659830358273,10116,Rattus norvegicus,GNB2;GNB3,,R-RNO-6814120;R-RNO-8850527;R-RNO-6814119;R-RNO-6814121;R-RNO-6814124,0.09387894990539784
884,R-RNO-9013507,NOTCH3 Activation and Transmission of Signal to the Nucleus,2,24,0.002314591571029,0.8056029541242471,0.9907144498866054,4,9,0.0011393847322445,10116,Rattus norvegicus,NCSTN;EGFR,,R-RNO-9013361;R-RNO-9017817;R-RNO-9018572;R-RNO-9018573,0.09387894990539784
885,R-RNO-9012852,Signaling by NOTCH3,2,24,0.002314591571029,0.8056029541242471,0.9907144498866054,4,9,0.0011393847322445,10116,Rattus norvegicus,NCSTN;EGFR,,R-RNO-9013361;R-RNO-9017817;R-RNO-9018572;R-RNO-9018573,0.09387894990539784
886,R-RNO-189200,Cellular hexose transport,2,24,0.002314591571029,0.8056029541242471,0.9907144498866054,2,18,0.0022787694644891,10116,Rattus norvegicus,SLC45A3;SLC5A1,,R-RNO-429613;R-RNO-8875902,0.09387894990539784
887,R-SSC-198725,Nuclear Events (kinase and transcription factor activation),3,33,0.0033006601320264,0.8056864464094423,0.9921970602113253,3,13,0.0017340269441109,9823,Sus scrofa,EGR2;PPP2R1A;SRF,,R-SSC-199959;R-SSC-9613213;R-SSC-9612509,0.09383394217585873
888,R-HSA-991365,Activation of GABAB receptors,3,50,0.003302073702285,0.8059160097860296,0.9582515491555914,8,8,0.0005742176284811944,9606,Homo sapiens,GNB2;GNB3;GNAI2,,R-HSA-170674;R-HSA-1013020;R-HSA-170666;R-HSA-1013013;R-HSA-392206;R-HSA-1013012;R-HSA-170686;R-HSA-170671,0.09371021673973771
889,R-HSA-977444,GABA B receptor activation,3,50,0.003302073702285,0.8059160097860296,0.9582515491555914,8,9,0.0006459948320413437,9606,Homo sapiens,GNB2;GNB3;GNAI2,,R-HSA-170674;R-HSA-1013020;R-HSA-170666;R-HSA-1013013;R-HSA-392206;R-HSA-1013012;R-HSA-170686;R-HSA-170671,0.09371021673973771
890,R-HSA-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,3,50,0.003302073702285,0.8059160097860296,0.9582515491555914,5,12,0.0008613264427217916,9606,Homo sapiens,GNB2;ITPR1;GNB3,,R-HSA-422320;R-HSA-381612;R-HSA-381644;R-HSA-9728664;R-HSA-381706,0.09371021673973771
891,R-MMU-189200,Cellular hexose transport,2,25,0.0023178193955127,0.8062209396498479,0.9874282648238504,2,18,0.0021967293141322,10090,Mus musculus,SLC45A3;SLC5A1,,R-MMU-8875902;R-MMU-429613,0.09354592628184653
892,R-GGA-212718,EGFR interacts with phospholipase C-gamma,1,11,0.0012537041258263,0.8064323639803388,0.9974743987201626,3,3,0.0004416310908287944,9031,Gallus gallus,EGFR,,R-GGA-212706;R-GGA-212710;R-GGA-212713,0.09343205131517926
893,R-GGA-6785631,ERBB2 Regulates Cell Motility,1,11,0.0012537041258263,0.8064323639803388,0.9974743987201626,1,1,0.00014721036360959813,9031,Gallus gallus,EGFR,,R-GGA-6785636,0.09343205131517926
894,R-GGA-9634635,Estrogen-stimulated signaling through PRKCZ,1,11,0.0012537041258263,0.8064323639803388,0.9974743987201626,3,4,0.0005888414544383925,9031,Gallus gallus,KRAS,,R-GGA-9632910;R-GGA-9632918;R-GGA-9632906,0.09343205131517926
895,R-GGA-171007,p38MAPK events,1,11,0.0012537041258263,0.8064323639803388,0.9974743987201626,1,2,0.00029442072721919626,9031,Gallus gallus,KRAS,,R-GGA-170986,0.09343205131517926
896,R-GGA-5578768,Physiological factors,1,11,0.0012537041258263,0.8064323639803388,0.9974743987201626,1,5,0.0007360518180479906,9031,Gallus gallus,NPR2,,R-GGA-5692408,0.09343205131517926
897,R-RNO-209543,p75NTR recruits signalling complexes,1,13,0.001253737100974,0.8064407295319853,0.9907144498866054,6,7,0.0008861881250791239,10116,Rattus norvegicus,IRAK1,,R-RNO-193665;R-RNO-193684;R-RNO-193641;R-RNO-209566;R-RNO-193695;R-RNO-193694,0.0934275461709955
898,R-RNO-141334,PAOs oxidise polyamines to amines,1,13,0.001253737100974,0.8064407295319853,0.9907144498866054,2,3,0.000379794910748196,10116,Rattus norvegicus,PAOX,,R-RNO-141348;R-RNO-141351,0.0934275461709955
899,R-RNO-209560,NF-kB is activated and signals survival,1,13,0.001253737100974,0.8064407295319853,0.9907144498866054,1,2,0.000253196607165464,10116,Rattus norvegicus,IRAK1,,R-RNO-193703,0.0934275461709955
900,R-RNO-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",1,13,0.001253737100974,0.8064407295319853,0.9907144498866054,1,2,0.000253196607165464,10116,Rattus norvegicus,MAT1A,,R-RNO-2408551,0.0934275461709955
901,R-RNO-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,1,13,0.001253737100974,0.8064407295319853,0.9907144498866054,1,3,0.000379794910748196,10116,Rattus norvegicus,ECHS1,,R-RNO-77314,0.0934275461709955
902,R-RNO-376172,DSCAM interactions,1,13,0.001253737100974,0.8064407295319853,0.9907144498866054,1,4,0.000506393214330928,10116,Rattus norvegicus,MAPK13,,R-RNO-451366,0.0934275461709955
903,R-HSA-170670,Adenylate cyclase inhibitory pathway,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,5,5,0.0003588860178007465,9606,Homo sapiens,GNAI2,,R-HSA-170674;R-HSA-170666;R-HSA-392206;R-HSA-170686;R-HSA-170671,0.0932840951690859
904,R-HSA-196299,Beta-catenin phosphorylation cascade,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,4,4,0.0002871088142405972,9606,Homo sapiens,PPP2R1A,,R-HSA-195283;R-HSA-195318;R-HSA-195287;R-HSA-195300,0.0932840951690859
905,R-HSA-6785631,ERBB2 Regulates Cell Motility,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,2,2,0.0001435544071202986,9606,Homo sapiens,EGFR,,R-HSA-6785636;R-HSA-6785648,0.0932840951690859
906,R-HSA-1295596,Spry regulation of FGF signaling,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,7,11,0.0007895492391616423,9606,Homo sapiens,PPP2R1A,,R-HSA-934559;R-HSA-1295632;R-HSA-1295622;R-HSA-1295609;R-HSA-1549564;R-HSA-1295599;R-HSA-1295613,0.0932840951690859
907,R-HSA-111447,Activation of BAD and translocation to mitochondria ,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,2,5,0.0003588860178007465,9606,Homo sapiens,YWHAE,,R-HSA-139906;R-HSA-139899,0.0932840951690859
908,R-HSA-399954,Sema3A PAK dependent Axon repulsion,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,2,6,0.0004306632213608958,9606,Homo sapiens,HSP90AB1,,R-HSA-419644;R-HSA-419645,0.0932840951690859
909,R-HSA-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,1,4,0.0002871088142405972,9606,Homo sapiens,ECHS1,,R-HSA-77314,0.0932840951690859
910,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,1,5,0.0003588860178007465,9606,Homo sapiens,YWHAE,,R-HSA-9729500,0.0932840951690859
911,R-HSA-975577,N-Glycan antennae elongation,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,1,6,0.0004306632213608958,9606,Homo sapiens,MGAT5,,R-HSA-975916,0.0932840951690859
912,R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,1,6,0.0004306632213608958,9606,Homo sapiens,ALOXE3,,R-HSA-8942208,0.0932840951690859
913,R-HSA-196780,Biotin transport and metabolism,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,2,13,0.0009331036462819408,9606,Homo sapiens,ACACA,,R-HSA-3065958;R-HSA-2993814,0.0932840951690859
914,R-HSA-418885,DCC mediated attractive signaling,1,19,0.0012547880068683,0.8067071474658094,0.9582515491555914,1,12,0.0008613264427217916,9606,Homo sapiens,ABLIM3,,R-HSA-418865,0.0932840951690859
915,R-DRE-9020958,Interleukin-21 signaling,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,5,5,0.0006806425265450585,7955,Danio rerio,JAK1,,R-DRE-9006850;R-DRE-9006873;R-DRE-9006870;R-DRE-9005980;R-DRE-9006844,0.09073588527282009
916,R-DRE-179812,GRB2 events in EGFR signaling,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,1,1,0.0001361285053090117,7955,Danio rerio,KRAS,,R-DRE-177938,0.09073588527282009
917,R-DRE-1963640,GRB2 events in ERBB2 signaling,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,1,1,0.0001361285053090117,7955,Danio rerio,KRAS,,R-DRE-1306972,0.09073588527282009
918,R-DRE-190377,FGFR2b ligand binding and activation,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,2,3,0.00040838551592703513,7955,Danio rerio,FGFR2,,R-DRE-190260;R-DRE-190408,0.09073588527282009
919,R-DRE-8851805,MET activates RAS signaling,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,3,6,0.0008167710318540703,7955,Danio rerio,KRAS,,R-DRE-8851899;R-DRE-8851827;R-DRE-8851877,0.09073588527282009
920,R-DRE-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,1,2,0.0002722570106180234,7955,Danio rerio,UBE2J2,,R-DRE-9609921,0.09073588527282009
921,R-DRE-167044,Signalling to RAS,1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,1,2,0.0002722570106180234,7955,Danio rerio,KRAS,,R-DRE-170986,0.09073588527282009
922,R-DRE-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",1,13,0.0012737605330197,0.8114543910854589,0.9976233031343844,1,2,0.0002722570106180234,7955,Danio rerio,MAT1A,,R-DRE-2408551,0.09073588527282009
